Epoch,TrainLoss,ValLoss,TrainAcc,AUC,ValAcc,Precision,Recall,F1,MAP100,MAP200
1,0.3787,0.2917,0.9049,0.6511,0.9130,0.4146,0.0233,0.0441,0.6687,0.6551
2,0.2737,0.2711,0.9155,0.7123,0.9147,0.6119,0.0281,0.0537,0.8323,0.7882
3,0.2730,0.2754,0.9154,0.7044,0.9141,0.5263,0.0342,0.0643,0.8143,0.7778
4,0.2645,0.2709,0.9161,0.7302,0.9140,0.5224,0.0240,0.0458,0.8002,0.7659
5,0.2615,0.2681,0.9159,0.7424,0.9141,0.5641,0.0151,0.0293,0.7622,0.7400
6,0.2570,0.2689,0.9164,0.7461,0.9144,0.5806,0.0246,0.0473,0.8043,0.7776
7,0.2546,0.3075,0.9173,0.7110,0.9137,0.4839,0.0205,0.0394,0.6209,0.6092
8,0.2737,0.2729,0.9157,0.7132,0.9141,0.5610,0.0157,0.0306,0.7774,0.7435
9,0.2625,0.2686,0.9159,0.7412,0.9144,0.6000,0.0226,0.0435,0.8583,0.7972
10,0.2567,0.2647,0.9167,0.7471,0.9144,0.5902,0.0246,0.0473,0.8434,0.8018
11,0.2503,0.2636,0.9174,0.7653,0.9146,0.6167,0.0253,0.0487,0.8214,0.7911
12,0.2450,0.2625,0.9183,0.7709,0.9146,0.5324,0.0787,0.1371,0.8415,0.8019
13,0.2498,0.2564,0.9168,0.7740,0.9149,0.5957,0.0383,0.0720,0.8414,0.8040
14,0.2380,0.2586,0.9193,0.7711,0.9157,0.6602,0.0465,0.0870,0.8672,0.8350
15,0.2350,0.2618,0.9202,0.7791,0.9156,0.5660,0.0910,0.1568,0.8296,0.8118
16,0.2316,0.2593,0.9203,0.7821,0.9164,0.6183,0.0787,0.1396,0.8444,0.8207
17,0.2277,0.2526,0.9220,0.7859,0.9156,0.6042,0.0595,0.1084,0.8328,0.8065
18,0.2214,0.2619,0.9237,0.7861,0.9153,0.5294,0.1540,0.2386,0.8451,0.8257
19,0.2219,0.2506,0.9231,0.7848,0.9176,0.6345,0.1034,0.1778,0.8814,0.8561
20,0.2145,0.2561,0.9249,0.7877,0.9180,0.6161,0.1307,0.2157,0.8276,0.8178
21,0.2108,0.2498,0.9268,0.7921,0.9191,0.6268,0.1506,0.2428,0.8615,0.8448
22,0.2045,0.2562,0.9286,0.7840,0.9168,0.5573,0.1663,0.2562,0.8490,0.8292
23,0.2036,0.2629,0.9291,0.7891,0.9178,0.5740,0.1780,0.2717,0.8094,0.8005
24,0.2411,0.2641,0.9214,0.7631,0.9146,0.5233,0.1075,0.1783,0.8671,0.8289
25,0.2275,0.3110,0.9237,0.7721,0.9073,0.4213,0.2033,0.2742,0.7641,0.7559
26,0.2372,0.2870,0.9229,0.7749,0.9129,0.4886,0.2204,0.3038,0.8201,0.7977
27,0.2152,0.2656,0.9268,0.7941,0.9120,0.4796,0.2491,0.3279,0.8334,0.8245
28,0.1977,0.2560,0.9320,0.7921,0.9183,0.6097,0.1465,0.2362,0.8213,0.8182
29,0.1903,0.2770,0.9351,0.7770,0.9176,0.5788,0.1608,0.2517,0.8366,0.8357
30,0.1832,0.2714,0.9382,0.7805,0.9143,0.5063,0.2204,0.3071,0.8416,0.8279
